RA,DEC,zCMB,x1,e_x1,c,e_c,mB,e_mB
304.630585,80.861397,0.038419999999999996,-0.5157390000000001,0.0682,-0.0549043,0.0297444,16.36729,0.0482278
24.681054999999997,21.799376000000002,0.038610000000000005,-0.636463,0.12897,0.0500149,0.025064,16.76515,0.0498508
146.183289,20.468163,0.03427,-1.45308,0.13972,0.0772771,0.0292113,16.9121,0.041619199999999995
171.109848,14.924447,0.02634,-2.9452,0.0842173,0.10667,0.030149099999999998,16.94899,0.0444793
196.182922,77.547409,0.04333,0.4856,0.1933,0.00865002,0.0315918,16.81205,0.0434747
137.162964,8.152538999999999,0.03556,-1.4880200000000001,0.0854265,-0.0189793,0.029207,16.74584,0.042682099999999994
222.107941,32.401340000000005,0.03148,-2.23557,0.0874793,0.059215,0.028817000000000002,16.947689999999998,0.0426617
76.612526,6.238939,0.032389999999999995,-1.8237299999999999,0.144,0.0904457,0.033679400000000005,16.748829999999998,0.0540448
246.172821,26.997545000000002,0.04068,-0.486205,0.20128,-1.1593299999999998e-06,0.0279075,16.84665,0.045365699999999995
209.440292,42.713004999999995,0.03789,0.82042,0.18821,0.0182707,0.0328102,16.900660000000002,0.049269099999999996
261.76025400000003,27.952038,0.03464,-0.0875057,0.29668,0.0621785,0.0304346,16.85678,0.0438971
154.40007,41.151291,0.03178,-2.35658,0.22960999999999998,0.19282,0.0302935,17.159129999999998,0.0443505
214.116852,46.708488,0.0447,0.9267,0.2334,-0.0829466,0.0359781,16.806079999999998,0.056389999999999996
9.196026,33.336704,0.04113,0.8411200000000001,0.18707000000000001,-0.0112887,0.030386700000000003,16.7161,0.0445664
40.663727,35.413502,0.03871,0.17232,0.14256,0.0614937,0.0325669,16.88465,0.047425999999999996
42.8904,37.380939,0.03796,-0.666293,0.10136,-0.0057713,0.0322739,16.782120000000003,0.0504773
199.459076,11.965144,0.0325,-0.920047,0.14192000000000002,0.17581,0.0388327,17.145960000000002,0.077155
182.339508,1.012308,0.03344,-2.20425,0.0902656,0.001716,0.0298547,16.895210000000002,0.0436726
236.896408,21.873695,0.0374,0.26053000000000004,0.14455,0.023682400000000003,0.0310784,16.847170000000002,0.046270099999999995
324.681396,6.656851,0.04369,0.77305,0.07933380000000001,0.022371000000000002,0.029988599999999997,16.92158,0.041693
199.842422,10.311989,0.04108,0.7742399999999999,0.21946,0.00792715,0.0394784,16.926920000000003,0.07991519999999999
253.750656,46.06868,0.04216,1.29176,0.52413,0.0346394,0.0365941,16.97007,0.060292899999999996
